#/home/enes/bim/BIM.py trees/ir3070090.trees,trees/ir3070091.trees,trees/ir3070092.trees,trees/ir3070093.trees,trees/ir3070094.trees,trees/ir3070095.trees,trees/ir3070096.trees,trees/ir3070097.trees,trees/ir3070098.trees,trees/ir3070099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/752602100.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,bsfs,FulD,FayH,FerL,btree,Colless,path
0,100001.0,50,358,-0.01652374059376776,0.2992429676646016,-0.1265705173299805,-0.27151452250622343,-0.04289119785270054,-0.3512156367249863,-0.21899865812648953,0.13126566416040103,ir3070090.trees
0,100001.0,50,349,-0.4332924090926878,-0.07569490713334245,-0.800311626982617,0.39974026201493573,-0.05032859010491693,-0.16846816921674904,-1.0155506011976625,0.14799536836011,ir3070091.trees
0,100001.0,50,418,0.38825508313228707,0.48373793529655923,0.4076857994376375,-0.17380743912209903,-0.011181438405673334,-0.32308998935960626,-0.41462467187029056,0.13244756235827668,ir3070092.trees
0,100001.0,50,394,-0.5014613637414471,-0.28021535482228993,-0.7495784948525992,-0.5475353811596035,-0.0321356861314166,0.024412834511139174,-0.27871184525837917,0.1245748299319728,ir3070093.trees
0,100001.0,50,542,0.29827198911951947,0.21868713374036652,0.4522841148676765,-0.06747291194747282,0.012140482266705823,-0.07327226172310232,-0.011189889179006233,0.11947589254679976,ir3070094.trees
0,100001.0,50,478,0.13590160089163386,0.053798314908490213,0.1689795606447958,0.023536129862024652,0.011704952642671847,0.018799615301358513,-0.37727389166748715,0.12760770975056696,ir3070095.trees
0,100001.0,50,349,-0.1374836321332245,-0.22816641737432886,-0.4169847663003347,1.3322524317491198,0.011730432924453721,0.17953304438536347,-0.5070371461218037,0.1384716808071543,ir3070096.trees
0,100001.0,50,388,-0.4585328914009914,-0.2962478962467728,-0.6601861389329652,0.4487917116024582,-0.023963544563730874,0.06803348921999619,-0.7147439221931193,0.1381617864537119,ir3070097.trees
0,100001.0,50,385,-0.17982082319419831,-0.46316563289626855,-0.04553904887207634,0.9777485385698489,0.03758987405081827,0.4226000745623858,-0.4488241541972696,0.1381195335276968,ir3070098.trees
0,100001.0,50,406,-0.25479943373643626,-0.40250269506912917,-0.3757297653301386,-0.2639996428875907,0.01885724086252626,0.30911375692136767,-0.8195733153975091,0.15320523370638578,ir3070099.trees
