#/home/enes/bim/BIM.py trees/ir3080090.trees,trees/ir3080091.trees,trees/ir3080092.trees,trees/ir3080093.trees,trees/ir3080094.trees,trees/ir3080095.trees,trees/ir3080096.trees,trees/ir3080097.trees,trees/ir3080098.trees,trees/ir3080099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/931265217.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,bsfs,FerL,FulD,TajD,ZngE,Colless,btree,path
0,100001.0,50,436,-0.014251104946397058,-1.2081479683346161,0.22486150558797596,0.9545875604061516,-0.5856716094022486,-0.49974089919261083,0.1670330733919583,-1.2100752821708836,ir3080090.trees
0,100001.0,50,397,-0.09348286454994474,-1.2000231185043733,-0.6761371128855255,1.4829260680801022,-0.19010674390596805,0.4945016811340023,0.15129513343799061,-0.857057849653417,ir3080091.trees
0,100001.0,50,514,-0.08182664590994973,-0.8549576009334412,-0.42408198137726505,0.3391795795983134,-0.45475566056154976,0.13656477080052062,0.16726690676270514,-0.9796415784399584,ir3080092.trees
0,100001.0,50,419,0.002740321808112302,-0.5953651223333412,0.22333499331910733,1.1266451294582012,-0.33981533046329043,-0.3712814934481686,0.16663265306122457,-0.9749427426307019,ir3080093.trees
0,100001.0,50,449,-0.10040856669178894,-0.630606579819198,-0.832201594807049,-0.0262483402621688,-0.026975690360184237,0.7156703754500041,0.14447619047619048,-0.37174618128796877,ir3080094.trees
0,100001.0,50,395,0.03095127106818569,0.030738645032970757,0.3889610736310494,-0.029734161234376794,-0.21745260312061634,-0.45315418131787955,0.1332222405091069,-0.20015770417638196,ir3080095.trees
0,100001.0,50,341,-0.011233357855181545,-0.6200296081452644,0.1624292161287596,0.13917991503725824,-0.4368258496972901,-0.36737902178840603,0.12805250305250304,-0.3389456427355856,ir3080096.trees
0,100001.0,50,455,-0.07865198500204408,-0.75493631692785,-0.48101326329107985,0.09350203313004544,-0.31115804819079607,0.26088674971107195,0.18208616780045347,-1.1966545765003447,ir3080097.trees
0,100001.0,50,450,-0.09807658857674119,-0.07456655262771675,-0.9680915301707699,-0.03350879429990638,0.23689764001962668,0.9711964826871475,0.16855120426549003,-0.9361532549527642,ir3080098.trees
0,100001.0,50,440,-0.05094451290766683,-0.2598510259901729,-0.5083474145156212,0.4782983448071863,0.13262528519754863,0.5141953553909815,0.16573205858920145,-0.9165479158562151,ir3080099.trees
