#/home/enes/bim/BIM.py trees/ir3020020.trees,trees/ir3020021.trees,trees/ir3020022.trees,trees/ir3020023.trees,trees/ir3020024.trees,trees/ir3020025.trees,trees/ir3020026.trees,trees/ir3020027.trees,trees/ir3020028.trees,trees/ir3020029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/956985215.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,TajD,bsfs,FerL,FayH,FulD,Colless,btree,path
0,100001.0,50,431,0.5291189821769332,-0.7912299872706763,-2.8790665526656447,-1.0698568365798566,-0.1819784335922492,0.9694218891010012,0.251187665148704,-2.3437641332589516,ir3020020.trees
0,100001.0,50,372,0.03150690164214877,-0.5311765687098767,-1.356404414069544,-0.3485776892954266,-0.07851859326370457,1.0072835350633405,0.19356549959433328,-1.6955547093436798,ir3020021.trees
0,100001.0,50,369,0.835190116626238,-0.6596180211852137,-2.597421317017818,-1.3412322975357267,-0.20540018452137385,1.7239488635989295,0.23516628873771733,-2.007651851675,ir3020022.trees
0,100001.0,50,409,0.6590383728328091,-0.5834736470837392,-2.4788548123056966,-1.095554329132227,-0.170640454330188,1.4517400151146467,0.22318084537185665,-1.919594243328276,ir3020023.trees
0,100001.0,50,360,1.2405738636176962,-0.6110549273112424,-3.2047184659217596,-1.7752396585150478,-0.25365439737871404,1.2324462421862994,0.2606831464980358,-2.7375653352112415,ir3020024.trees
0,100001.0,50,385,0.11825855003877028,-0.12294675368453271,-0.18635105630489276,-0.20731594248132978,-0.03319488527614849,0.0549573445388569,0.18096200744448737,-1.1562448526840279,ir3020025.trees
0,100001.0,50,386,0.6293346239366339,-0.468765415868584,-0.952186329628266,-0.9940496708838419,-0.1507219498730645,-0.4522667972985517,0.19581492390770747,-1.3325864595535042,ir3020026.trees
0,100001.0,50,417,0.24072556599236983,0.013983104706602464,-0.21209148790317112,-0.26637792937567784,-0.030596022127869396,0.011257713411008532,0.17957498314641174,-1.7334934028238154,ir3020027.trees
0,100001.0,50,394,-0.3546270317024235,-0.5356334379117709,-0.9635816852920578,0.08918861601877019,-0.026838312423970504,1.1434301382650711,0.17350839418336145,-1.0334466404428033,ir3020028.trees
0,100001.0,50,508,0.41760969449695146,-0.3345941522830263,-1.30980069273182,-0.6736465517827903,-0.10295250432357288,0.732328249921897,0.21736431798996972,-1.5280926287903838,ir3020029.trees
