#/home/enes/bim/BIM.py trees/r3040030.trees,trees/r3040031.trees,trees/r3040032.trees,trees/r3040033.trees,trees/r3040034.trees,trees/r3040035.trees,trees/r3040036.trees,trees/r3040037.trees,trees/r3040038.trees,trees/r3040039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/123750642.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FerL,bsfs,TajD,FulD,FayH,btree,Colless,path
0,100001.0,50,490,-0.17597334841311046,0.21933820986900657,0.063792860567599,0.03162520621622316,0.335565641058148,0.028141937017078896,-0.012228948768519057,0.12374364160078442,r3040030.trees
0,100001.0,50,377,-0.03706374882132442,0.10358547687413898,0.3632809642302784,0.10413030793663343,-0.22741671068577193,0.019575028323003698,0.40531793817326317,0.12354619267061667,r3040031.trees
0,100001.0,50,441,0.2729139780790247,-0.28652154527262075,-0.19721045164195636,0.04203657055829521,0.03301382541158865,-0.030996572875534492,-0.32700591352408903,0.13658687774175074,r3040032.trees
0,100001.0,50,394,0.13696500385675694,-0.03535935205014076,0.41168749189168957,0.20532387948873768,-0.3220733119029804,0.010149013704880572,0.5091214293535177,0.13326424319727895,r3040033.trees
0,100001.0,50,377,-0.23876597621097317,0.3438868486582631,0.35981161515738186,0.12137267584565745,-0.0703765568675229,0.04930936196330081,0.5259979050756913,0.10097911997168806,r3040034.trees
0,100001.0,50,375,0.278331371229718,-0.08662022076215083,0.51149448318763,0.3924130317582625,-0.5662889980446245,0.017139683148568164,0.1608770981034758,0.12273409363745508,r3040035.trees
0,100001.0,50,379,0.30458994644903115,-0.49577738486611644,-0.9658422805470583,-0.25181048647802867,1.123313607127608,-0.07645164537025288,-0.5276208209073812,0.13960295656724223,r3040036.trees
0,100001.0,50,428,-0.14468732595151168,0.16513632273021048,0.13242373298974394,0.00015003322814861227,-0.7312301057441609,0.01957533344296472,0.23205003644649722,0.10877267573696146,r3040037.trees
0,100001.0,50,486,0.5834404158994891,-0.4523569794821197,0.3272139819010143,0.36112228205866603,-1.4341271636042652,-0.02830431193283407,-0.20683253789410713,0.17185728458049887,r3040038.trees
0,100001.0,50,413,-0.5509160378563726,0.45630749150726424,-0.12476734756891505,-0.2922762572896068,0.2942588864468181,0.033681053517508684,0.07311108636942698,0.1161951553108016,r3040039.trees
