#/home/enes/bim/BIM.py trees/ir3050010.trees,trees/ir3050011.trees,trees/ir3050012.trees,trees/ir3050013.trees,trees/ir3050014.trees,trees/ir3050015.trees,trees/ir3050016.trees,trees/ir3050017.trees,trees/ir3050018.trees,trees/ir3050019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/577762132.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,TajD,bsfs,ZngE,FulD,FayH,Colless,btree,path
0,100001.0,50,318,-0.2355839248201592,0.25504859756897696,0.29253712414980076,0.33765636504042107,-0.12454291178214705,-0.010209197136482072,0.1542783780178738,-1.2002576539446648,ir3050010.trees
0,100001.0,50,505,-0.47983238249114946,0.0689161571885427,-0.09619321828602372,0.4564350970735972,0.34520420120128015,-0.051909375498148495,0.18856292517006806,-1.154643200249964,ir3050011.trees
0,100001.0,50,401,-0.9337467091791546,-0.4885399319023853,-2.354148228299365,0.5662423774191635,0.8815211954165334,-0.1448666478862978,0.18935732187611887,-1.8867361336683173,ir3050012.trees
0,100001.0,50,540,-0.8145257856525139,-0.17588908885047766,-0.7586890076964081,0.6233014489326073,-0.7696100083103568,-0.1084564622259461,0.17898409363745502,-2.067597361499435,ir3050013.trees
0,100001.0,50,441,-0.1613720232464453,-0.4093200848352861,-0.556028792976157,-0.0700426055946636,0.26818111912892784,-0.047681734015798755,0.2432055346410409,-1.933442108344676,ir3050014.trees
0,100001.0,50,397,-0.5981275462003095,0.029126223886721748,-0.6985143848592378,0.5392886895077034,0.8489132151037414,-0.06891479531523362,0.14621598639455785,-0.8965845262310967,ir3050015.trees
0,100001.0,50,385,-0.35673805330670794,0.7249539713342845,0.7544169140766862,0.6867262052203832,-0.6755856840690125,0.008316266184405067,0.1704290206648697,-1.3808789539074282,ir3050016.trees
0,100001.0,50,349,-0.08797546205280064,-0.055962345606555226,-0.11579174212981362,0.04824392282862875,-0.15128965646435394,-0.014372683904961863,0.1277251864601262,0.1584188701482363,ir3050017.trees
0,100001.0,50,545,0.011663371158007625,0.09363305172185929,-0.00951385696826351,0.03824976309942741,0.703970682805376,0.00790451876414822,0.14304148232719657,-0.833373816667737,ir3050018.trees
0,100001.0,50,344,-1.0312705489795302,-0.4187517803304342,-1.4621353415292881,0.6878085508063648,0.10930439225960992,-0.15192651625436754,0.15960972017673053,-0.745390577786061,ir3050019.trees
