#/home/enes/bim/BIM.py trees/ir3010040.trees,trees/ir3010041.trees,trees/ir3010042.trees,trees/ir3010043.trees,trees/ir3010044.trees,trees/ir3010045.trees,trees/ir3010046.trees,trees/ir3010047.trees,trees/ir3010048.trees,trees/ir3010049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/865845711.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,FerL,FayH,FulD,TajD,ZngE,Colless,btree,path
0,100001.0,50,416,-0.8259573094460112,-0.41416193340630086,-0.07703132884635033,-0.12321014503143962,-0.400120445849102,0.15641124575861579,0.16235933625786764,-0.7662506681720714,ir3010040.trees
0,100001.0,50,407,0.24122255801665266,0.14813196140654208,0.025838993611529387,-0.053136273229658505,0.11847865796753983,-0.06867173309177647,0.14880952380952378,-0.7845013113788941,ir3010041.trees
0,100001.0,50,342,-1.5182165078462255,-0.33941768055609534,-0.07229930103603367,1.1671166848632923,-0.4565384935417238,0.06215900224531596,0.14537884119164904,-0.6937871508144033,ir3010042.trees
0,100001.0,50,402,0.21554171225593777,-0.17479866100132913,-0.016373577349407177,-0.5285343561241602,0.062372291160755,0.18541344262619847,0.16444970845481047,-0.5687226962615745,ir3010043.trees
0,100001.0,50,413,0.061800360602105,0.19308336512765448,0.02483354200841803,0.5094125175524088,0.02784892771321506,-0.1548701275219048,0.13096556452038183,-0.1034850628845129,ir3010044.trees
0,100001.0,50,539,0.5936650673625751,-0.09963471371726323,0.0201443291317026,-0.43472339129177906,0.4577382994839163,0.32435687457952495,0.12786455364268604,-0.23811518234589552,ir3010045.trees
0,100001.0,50,447,-1.589933115804933,0.028724958607694653,-0.045152430208801414,1.214806747907653,-0.6956483585475884,-0.38470932520567863,0.19263198237041296,-1.630312663001834,ir3010046.trees
0,100001.0,50,404,-0.27369164531493045,-0.18544474826000237,-0.029132424551486895,0.7772715020925657,-0.10224477211290967,0.10976134102363606,0.14712885154061625,-0.08501578103176367,ir3010047.trees
0,100001.0,50,365,-1.0734109657736945,-0.622460840210508,-0.09608167114470373,0.8462922043808218,-0.31671118056576175,0.3821564448316152,0.1977554758167003,-1.0897821742395022,ir3010048.trees
0,100001.0,50,466,0.15527194790517626,0.07196778692561935,0.01720208602798729,0.8404272536111881,0.12448648569278391,0.0012627997918696681,0.1566010124980224,-0.7076588475185193,ir3010049.trees
