#/home/enes/bim/BIM.py trees/ir3120060.trees,trees/ir3120061.trees,trees/ir3120062.trees,trees/ir3120063.trees,trees/ir3120064.trees,trees/ir3120065.trees,trees/ir3120066.trees,trees/ir3120067.trees,trees/ir3120068.trees,trees/ir3120069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/336767132.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,FerL,TajD,FayH,FulD,ZngE,Colless,btree,path
0,100001.0,50,462,-1.3425102763585781,-0.21231670948698234,-0.7287006855876029,-0.07597535214755158,0.010110574847175896,-0.1905760549096322,0.16269339594244778,-0.8083079461564825,ir3120060.trees
0,100001.0,50,506,-0.1538587200754545,-0.10035089694190841,0.10290740297593814,-0.00468422159945018,0.13290254047580283,0.14124742518459912,0.12169952726853453,-0.21254285073130766,ir3120061.trees
0,100001.0,50,416,-0.7641801735896807,-0.8706234058010912,-0.08359755686871172,-0.10903232982773019,-0.016404377241252384,0.720002205247691,0.14287467564345321,-0.4820640075881383,ir3120062.trees
0,100001.0,50,429,-1.374975548466703,-0.5082729733455219,-0.5766270777331975,-0.10047419543086018,0.3677330355465797,0.1476858444822196,0.15156939968970046,-0.9623802009325932,ir3120063.trees
0,100001.0,50,433,0.1957368518977593,0.12219573205830533,-0.0003362903155478733,0.014451337769946422,0.026028185546473973,-0.10729784469780752,0.12843375445416255,-0.014698055456015284,ir3120064.trees
0,100001.0,50,350,-0.6349040222341228,-0.18907618291086592,-0.3918072476096514,-0.04987576783722131,0.43147886680440023,-0.03626328071955556,0.1767467403628118,-0.6451578289127441,ir3120065.trees
0,100001.0,50,459,0.3870282642581802,-0.23456810985111662,0.34554181999232925,-0.003648901615812686,-0.16200751963069995,0.3842910492997579,0.12216315097467557,-0.35651128217786743,ir3120066.trees
0,100001.0,50,412,-0.4411210890757256,-0.004972063854227212,-0.35177715280244976,-0.025156187853044767,-0.1283872647088139,-0.17729322684115653,0.16881704604918887,-0.8938031687216896,ir3120067.trees
0,100001.0,50,352,0.5543115871239106,0.07178915851155429,0.24972867199519616,0.02599549416985939,0.326305897170667,0.0658144616799613,0.12305402930402928,-0.30297948429596294,ir3120068.trees
0,100001.0,50,358,-0.6595458481706338,-0.08902808008914173,-0.15623223859581553,-0.021502208514365278,0.7617075859972092,-0.0025313706809138563,0.16184505717180492,-1.2556087888071972,ir3120069.trees
