#/home/enes/bim/BIM.py trees/ir3080080.trees,trees/ir3080081.trees,trees/ir3080082.trees,trees/ir3080083.trees,trees/ir3080084.trees,trees/ir3080085.trees,trees/ir3080086.trees,trees/ir3080087.trees,trees/ir3080088.trees,trees/ir3080089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/641794016.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,bsfs,FulD,TajD,ZngE,FerL,Colless,btree,path
0,100001.0,50,385,0.009088240260594573,0.05946767687336554,-0.13729082088426633,-0.042437930123665694,-0.11091003459997012,0.10156243773709618,0.13808400718778083,-0.326395939579721,ir3080080.trees
0,100001.0,50,342,-0.08741104018700793,-1.5860963463234068,1.2968608201239682,-0.6925492538730468,-0.06972214565739236,-0.3276875323717767,0.15411681914144967,-1.007302405272317,ir3080081.trees
0,100001.0,50,486,-0.018501321226592326,0.4013442278257443,-0.5495991816179735,0.42204951561026216,0.5737815026680831,-0.4054023527229146,0.13514294606731575,0.05667837167617164,ir3080082.trees
0,100001.0,50,460,-0.01385914154875471,-0.9904326396807344,0.9587208082491911,-0.6717982305031007,-0.591923312901818,0.2790082411726862,0.15631833090379002,-0.9783974256954558,ir3080083.trees
0,100001.0,50,400,-0.06872659153251331,-0.7641598112148553,0.8179045394596538,-0.22174269215945508,0.2789676693501538,-0.44886596394221817,0.18234481292517005,-1.4487940998299647,ir3080084.trees
0,100001.0,50,353,-0.06972750344283352,-0.4303547779834829,-0.10302749805106008,-0.11667820569460065,0.39373595556721874,-0.5179812146569919,0.14837957654972103,-0.9739722224807194,ir3080085.trees
0,100001.0,50,525,-0.0026045434051871286,-0.46171648146848193,0.68674190855987,-0.1931557226859616,-0.18061767324525405,0.09195333532057158,0.1362358967977435,-0.47399596617290785,ir3080086.trees
0,100001.0,50,385,-0.06442474563108734,-0.2383485712333903,-0.5217871517305133,0.07338178096389748,0.551492446793988,-0.5860453712923762,0.14070891514500536,-0.2575085844162762,ir3080087.trees
0,100001.0,50,425,0.0126895321305062,-0.16997969940736501,0.15819119515785315,-0.16134235797965205,-0.26056506496465826,0.2021651943217353,0.16783065685290513,-1.3581503485589757,ir3080088.trees
0,100001.0,50,493,-0.03820263566378114,-0.6154641577648641,0.13306315839630575,-0.40527805509921194,-0.1359800126044578,-0.08401582512736905,0.2043960441319385,-1.4819933024560388,ir3080089.trees
