#/home/enes/bim/BIM.py trees/r3080080.trees,trees/r3080081.trees,trees/r3080082.trees,trees/r3080083.trees,trees/r3080084.trees,trees/r3080085.trees,trees/r3080086.trees,trees/r3080087.trees,trees/r3080088.trees,trees/r3080089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/157550448.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,bsfs,FerL,FulD,FayH,btree,Colless,path
0,100001.0,50,385,-0.042437930123665694,-0.11091003459997012,0.05946767687336554,0.10156243773709618,-0.13729082088426633,0.009088240260594573,-0.09245894670246713,0.13925244010647725,r3080080.trees
0,100001.0,50,342,-0.6925492538730468,-0.06972214565739236,-1.5860963463234068,-0.3276875323717767,1.2968608201239682,-0.08741104018700793,-0.021290727317953475,0.13320357044551923,r3080081.trees
0,100001.0,50,486,0.42204951561026216,0.5737815026680831,0.4013442278257443,-0.4054023527229146,-0.5495991816179735,-0.018501321226592326,0.12522610057674477,0.13065916021581048,r3080082.trees
0,100001.0,50,460,-0.6717982305031007,-0.591923312901818,-0.9904326396807344,0.2790082411726862,0.9587208082491911,-0.01385914154875471,-0.6143545610043006,0.13731527093596052,r3080083.trees
0,100001.0,50,400,-0.22174269215945508,0.2789676693501538,-0.7641598112148553,-0.44886596394221817,0.8179045394596538,-0.06872659153251331,-0.6191818896843232,0.15865897928678205,r3080084.trees
0,100001.0,50,353,-0.11667820569460065,0.39373595556721874,-0.4303547779834829,-0.5179812146569919,-0.10302749805106008,-0.06972750344283352,-0.4978467627049006,0.13411152339723773,r3080085.trees
0,100001.0,50,525,-0.1931557226859616,-0.18061767324525405,-0.46171648146848193,0.09195333532057158,0.68674190855987,-0.0026045434051871286,-0.04490358123834083,0.1287484381507705,r3080086.trees
0,100001.0,50,385,0.07338178096389748,0.551492446793988,-0.2383485712333903,-0.5860453712923762,-0.5217871517305133,-0.06442474563108734,-0.17597258026960172,0.12461843711843705,r3080087.trees
0,100001.0,50,425,-0.16134235797965205,-0.26056506496465826,-0.16997969940736501,0.2021651943217353,0.15819119515785315,0.0126895321305062,-0.23561853515310044,0.139808583007671,r3080088.trees
0,100001.0,50,493,-0.40527805509921194,-0.1359800126044578,-0.6154641577648641,-0.08401582512736905,0.13306315839630575,-0.03820263566378114,-0.5696628905165158,0.15752223966509676,r3080089.trees
