#/home/enes/bim/BIM.py trees/r3050070.trees,trees/r3050071.trees,trees/r3050072.trees,trees/r3050073.trees,trees/r3050074.trees,trees/r3050075.trees,trees/r3050076.trees,trees/r3050077.trees,trees/r3050078.trees,trees/r3050079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/735317047.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FerL,bsfs,ZngE,FulD,TajD,btree,Colless,path
0,100001.0,50,395,-0.08864717636324564,-0.8119895536951565,-0.26552532220063957,0.76842659436516,-0.5544890558307924,0.10991489642964912,-0.10995538671364659,0.12188705891713417,r3050070.trees
0,100001.0,50,362,-0.021469570609764108,-0.42339957010238655,0.3563983147503833,0.5836966471599233,0.22650487685397752,0.4124629964375847,0.10671003243872386,0.11746570136434467,r3050071.trees
0,100001.0,50,408,-0.00951064565480883,-0.21574835243277604,0.028402212930426562,0.30791602254334105,0.8100215158480336,0.23009117554050992,-0.4277582309888037,0.13178413441879483,r3050072.trees
0,100001.0,50,399,-0.09948886903787188,-0.6007317791161767,-0.9416577972882354,0.3178807162246973,0.19733417827746663,-0.40422743959978197,-1.5936116072137458,0.21638321995464851,r3050073.trees
0,100001.0,50,448,-0.19283896199606113,-1.1672847904668342,-2.402935370287987,0.6187923733524046,0.7417322086946503,-0.7828293687798422,-1.505127678750197,0.19764825121967985,r3050074.trees
0,100001.0,50,401,0.014283694832577241,-0.09857536661860994,0.6908193902099687,0.27836907839437985,0.10609167635732407,0.3718627966506206,-0.008717057894862408,0.12261591753265721,r3050075.trees
0,100001.0,50,369,-0.004814638906338808,-0.2578769874374607,-0.15665393810008785,0.41645126389349674,0.8015259945817843,0.36930499309946546,-0.08053185599903066,0.12034450651769087,r3050076.trees
0,100001.0,50,282,-0.06690763683395816,-0.07996305855638439,-2.1090794605702983,-0.3505871814111649,2.3210293058798253,-0.8185611348042352,-1.1332540230010746,0.18884945282460816,r3050077.trees
0,100001.0,50,376,-0.0554141542991217,-0.3672088251623891,-0.5268445242215283,0.23459744291304602,0.2530965616001619,-0.16907561403089635,-0.5523868225929226,0.16075293753865175,r3050078.trees
0,100001.0,50,453,-0.08318886357766815,-0.6128828463094322,-0.783758694056512,0.45855090753227506,0.4028465544857972,-0.15242900804661863,-0.7629537619304648,0.1853257890834058,r3050079.trees
