#/home/enes/bim/BIM.py trees/ir3020060.trees,trees/ir3020061.trees,trees/ir3020062.trees,trees/ir3020063.trees,trees/ir3020064.trees,trees/ir3020065.trees,trees/ir3020066.trees,trees/ir3020067.trees,trees/ir3020068.trees,trees/ir3020069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/231334167.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,bsfs,ZngE,FerL,FulD,FayH,Colless,btree,path
0,100001.0,50,369,-0.7005745787412191,-1.3704739733586995,-0.24627050908070053,-0.1312723110723813,0.7213153103194239,-0.06455826655210563,0.1811413454270597,-1.2825552542967733,ir3020060.trees
0,100001.0,50,460,-0.8504423786659422,-2.7568937792620347,0.6608876364290982,-1.25522128327794,0.6043516198943722,-0.2079018045253342,0.22872482326263835,-2.113934013485958,ir3020061.trees
0,100001.0,50,436,-0.6611451408455883,-1.7999834951755118,-0.10203720997678255,-0.27327216520881253,1.4982410761317881,-0.07852049018835518,0.19473569244211447,-1.3425454062715731,ir3020062.trees
0,100001.0,50,321,-0.17338361477673375,-0.3540123001406074,0.093918531698096,-0.2091023761811416,0.030123080988192705,-0.03703423717476401,0.19671500179018975,-1.7704048055122652,ir3020063.trees
0,100001.0,50,352,-0.49484074590717203,-1.2377043768231895,0.2921689690085923,-0.6245188169684257,0.3263058971706675,-0.10883753963622926,0.22955677116207307,-1.9354770767034237,ir3020064.trees
0,100001.0,50,446,-0.4444151029558085,-2.063464364417814,0.5141528248599001,-0.8484304891948959,1.6899905809447129,-0.13147596755308047,0.20346798513219724,-1.97666431983256,ir3020065.trees
0,100001.0,50,426,0.026052875291449885,0.04598641742749866,0.2650359052347863,-0.2869830939704651,-1.066897912146032,-0.032184361864501576,0.1737100500577589,-0.9009016225286235,ir3020066.trees
0,100001.0,50,334,0.22650252273390004,-1.0028020039158656,0.9247772828131172,-0.9223749713492131,0.2109607237355402,-0.09390727226671326,0.139625850340136,-0.7214824827882426,ir3020067.trees
0,100001.0,50,415,0.006840994969251932,-0.22991447076786056,0.4929472630920912,-0.5583226445154433,-0.5795067248269228,-0.06570253618201882,0.15453181272509006,-0.9905980326284681,ir3020068.trees
0,100001.0,50,362,0.38930582166797706,0.13256088360055965,1.080916583686037,-1.0044336302047951,-0.79538053715068,-0.09212041313785357,0.18583943011166726,-1.3458832371193061,ir3020069.trees
