#/home/enes/bim/BIM.py trees/ir3010050.trees,trees/ir3010051.trees,trees/ir3010052.trees,trees/ir3010053.trees,trees/ir3010054.trees,trees/ir3010055.trees,trees/ir3010056.trees,trees/ir3010057.trees,trees/ir3010058.trees,trees/ir3010059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/626538858.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,bsfs,FerL,FulD,FayH,TajD,Colless,btree,path
0,100001.0,50,411,-0.3213320728164034,0.30741569779732736,0.37652689254479954,0.1675697284087499,0.04581707242035749,0.01688095296482132,0.13268707482993197,-0.735161277615012,ir3010050.trees
0,100001.0,50,432,0.1042502419388894,-0.7240430597290368,-0.27227069292492545,0.9938605975397083,-0.050419393260505214,-0.26021408049133155,0.13650747184119555,-0.6629982370037073,ir3010051.trees
0,100001.0,50,338,0.08823952854187178,0.06564956763489416,-0.06631866079244773,-0.3117343502296824,-0.0037977228142909896,0.0584950967730674,0.151780712284914,-0.572556437530898,ir3010052.trees
0,100001.0,50,375,0.07972829646016831,-0.6917234185321982,-0.31185451348970983,0.0651990979406079,-0.06325380701649724,-0.3752638490090914,0.15368323255228017,-0.42340664297776315,ir3010053.trees
0,100001.0,50,377,0.23077035640099608,-0.6036195172533422,-0.3930524500836921,-0.46297694141314505,-0.06206672595961991,-0.22039797728042534,0.1543290043290043,-0.2951649022756742,ir3010054.trees
0,100001.0,50,386,0.12854631938074673,-0.7785122162975844,-0.19579686499158958,1.3502151081466407,-0.029066429669007333,-0.08344284023298829,0.16338435374149657,-0.7836504613934071,ir3010055.trees
0,100001.0,50,469,0.015478583064462901,0.007992361421280642,0.05153653225009422,0.11879809473887713,0.014284079914579249,0.11732770251374895,0.14455049261083747,-0.7983155702809618,ir3010056.trees
0,100001.0,50,400,0.1791344513607446,-0.22657344645240537,-0.23085650922159992,0.9289553627760385,-0.030521698819414703,-0.04496791218643411,0.1609662383471908,-0.918383059606887,ir3010057.trees
0,100001.0,50,346,0.10321178963236968,0.40968155500155856,0.09373025720955336,-0.7226099089233763,0.03629738471567867,0.35965466159043274,0.14086211407639979,-0.29315141462293254,ir3010058.trees
0,100001.0,50,404,0.31984285756802056,0.6013656373377861,-0.04713833657098083,-0.322310844464714,0.0320916435733596,0.5394924297635678,0.13412116983545558,-0.21410876074322005,ir3010059.trees
