#/home/enes/bim/BIM.py trees/ir3090030.trees,trees/ir3090031.trees,trees/ir3090032.trees,trees/ir3090033.trees,trees/ir3090034.trees,trees/ir3090035.trees,trees/ir3090036.trees,trees/ir3090037.trees,trees/ir3090038.trees,trees/ir3090039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/389103362.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,bsfs,FerL,FulD,TajD,ZngE,btree,Colless,path
0,100001.0,50,335,-0.14892520170625284,-0.9150152474384552,-0.9598367555731309,-0.8148083983469553,-0.4963525733389582,0.5852620207126811,-0.4212177528210719,0.16670848667335786,ir3090030.trees
0,100001.0,50,362,-0.05212972229324299,-0.6670713758296741,-0.2917961604630525,0.34913112653453643,-0.24978548721140942,0.12690808955548336,-0.5042624898844033,0.1509560134733505,ir3090031.trees
0,100001.0,50,436,-0.09853399843916495,-1.6395865378231276,-0.5371746248482255,1.022544249871856,-0.5000739180997323,0.21254282527681906,-0.7824687458822835,0.1515505138225503,ir3090032.trees
0,100001.0,50,400,-0.19468031296765262,-2.7771600879228733,-1.2628153860730091,0.891938421670577,-0.6428595013396294,0.7750139712350308,-1.6897248027549874,0.18665423158510713,ir3090033.trees
0,100001.0,50,429,-0.13394460274612321,-1.4771251294660523,-0.925269215337821,0.7130278266899781,-0.3484224549497731,0.6311340086942687,-0.8814519292553047,0.17013416477702192,ir3090034.trees
0,100001.0,50,380,-0.04279574790190063,-1.2018697025653717,-0.08362029243045643,1.4233370456146197,-0.4703740976068104,-0.1693870734056977,-0.9631589330695546,0.14564007421150285,ir3090035.trees
0,100001.0,50,369,-0.033894691768388927,-0.46614147508548887,-0.18136699354829147,0.11973517835172023,-0.17674970192580383,0.06778363046885544,-0.04894823290961089,0.1374413843207186,ir3090036.trees
0,100001.0,50,373,-0.23466085150647065,-3.512640795002799,-1.2500825570164984,1.5115989639597744,-1.233645832666865,0.4592131340052553,-1.5151245636549155,0.18319235588972427,ir3090037.trees
0,100001.0,50,365,-0.03219379118871466,-0.5493522038510186,-0.01615123761852776,-0.16725261972745964,-0.43310749554988676,-0.20918507603319536,-0.7223298701981288,0.15710552513688406,ir3090038.trees
0,100001.0,50,328,-0.11179727916023253,-3.0884426029615617,-0.2640153577354841,2.3034941368497956,-1.148692282595758,-0.3602358442725452,-1.4488521133760293,0.19030822205425377,ir3090039.trees
