#/home/enes/bim/BIM.py trees/r3030040.trees,trees/r3030041.trees,trees/r3030042.trees,trees/r3030043.trees,trees/r3030044.trees,trees/r3030045.trees,trees/r3030046.trees,trees/r3030047.trees,trees/r3030048.trees,trees/r3030049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/187031734.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,FulD,ZngE,bsfs,FayH,FerL,btree,Colless,path
0,100001.0,50,277,-0.9112056303442094,0.9825783473053605,0.11315465468248775,-2.176403245493556,-0.1431637707633613,-0.6637883889577454,-1.6286095058794219,0.18883735312306757,r3030040.trees
0,100001.0,50,375,-0.7835724531121963,1.1308352599156883,0.4528361649602851,-2.1572275853672247,-0.17087444492624032,-0.9779237282299693,-1.0904281786642613,0.16066800870007844,r3030041.trees
0,100001.0,50,282,-1.2911904107352699,2.0591937129820694,0.14804090355178892,-3.300779731844317,-0.20114228143475205,-0.9267083099428063,-2.5225548739224797,0.25275452061166337,r3030042.trees
0,100001.0,50,308,-0.9522252644619587,1.0337175633960491,0.36137982776676797,-2.3976355661469326,-0.18250177950191718,-0.9719075432862624,-1.9147732756654505,0.2281700680272109,r3030043.trees
0,100001.0,50,288,-0.9763482247869102,1.896992127670059,-0.04255866641085645,-2.860604906280964,-0.13099932329916592,-0.5244570637441321,-1.9501044940582821,0.2454184259910859,r3030044.trees
0,100001.0,50,509,-1.0932193811583109,1.4526631899326696,0.3104324009403166,-3.5481806831990603,-0.19431632841124147,-0.9990708020963176,-2.2138680026835496,0.20021772445241845,r3030045.trees
0,100001.0,50,267,-1.5129534151046955,3.518992262982335,-0.45160323806451785,-0.9033161390947722,-0.15048448065783668,-0.3713610502960898,-2.1840050169622307,0.21853741496598644,r3030046.trees
0,100001.0,50,386,-0.7331502997849481,-1.1809296952444805,1.9871171077405796,-2.569891487184056,-0.37152006928829623,-2.698916976716572,-1.3522422162238519,0.16473359530147486,r3030047.trees
0,100001.0,50,281,-1.2900696953439337,2.3408950553569565,-0.319963292590035,-3.081717188957452,-0.1371662149171564,-0.39157127490098226,-2.0120140660545323,0.2286152742346938,r3030048.trees
0,100001.0,50,381,-0.47686302326949,0.8670826484868686,0.323652233074839,-1.3424118946762955,-0.1104801104209175,-0.6500158396112908,-1.5043134121458508,0.18703639647949574,r3030049.trees
