#/home/enes/bim/BIM.py trees/ir3050070.trees,trees/ir3050071.trees,trees/ir3050072.trees,trees/ir3050073.trees,trees/ir3050074.trees,trees/ir3050075.trees,trees/ir3050076.trees,trees/ir3050077.trees,trees/ir3050078.trees,trees/ir3050079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/414219590.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,TajD,bsfs,ZngE,FulD,FerL,Colless,btree,path
0,100001.0,50,395,-0.08864717636324564,0.10991489642964912,-0.26552532220063957,0.76842659436516,-0.5544890558307924,-0.8119895536951565,0.13050359032501893,-0.5327689338529292,ir3050070.trees
0,100001.0,50,362,-0.021469570609764108,0.4124629964375847,0.3563983147503833,0.5836966471599233,0.22650487685397752,-0.42339957010238655,0.15416319589060112,-0.8352315917404265,ir3050071.trees
0,100001.0,50,408,-0.00951064565480883,0.23009117554050992,0.028402212930426562,0.30791602254334105,0.8100215158480336,-0.21574835243277604,0.15417000133386685,-1.012877146726135,ir3050072.trees
0,100001.0,50,399,-0.09948886903787188,-0.40422743959978197,-0.9416577972882354,0.3178807162246973,0.19733417827746663,-0.6007317791161767,0.24656245476914165,-2.5604062865994934,ir3050073.trees
0,100001.0,50,448,-0.19283896199606113,-0.7828293687798422,-2.402935370287987,0.6187923733524046,0.7417322086946503,-1.1672847904668342,0.23782541862898995,-2.4105476230406544,ir3050074.trees
0,100001.0,50,401,0.014283694832577241,0.3718627966506206,0.6908193902099687,0.27836907839437985,0.10609167635732407,-0.09857536661860994,0.1399848828420257,-0.37810561775293966,ir3050075.trees
0,100001.0,50,369,-0.004814638906338808,0.36930499309946546,-0.15665393810008785,0.41645126389349674,0.8015259945817843,-0.2578769874374607,0.1450545564760558,-0.7729845273083094,ir3050076.trees
0,100001.0,50,282,-0.06690763683395816,-0.8185611348042352,-2.1090794605702983,-0.3505871814111649,2.3210293058798253,-0.07996305855638439,0.25621220710506426,-2.324550883901102,ir3050077.trees
0,100001.0,50,376,-0.0554141542991217,-0.16907561403089635,-0.5268445242215283,0.23459744291304602,0.2530965616001619,-0.3672088251623891,0.17044890873015875,-1.074828897499897,ir3050078.trees
0,100001.0,50,453,-0.08318886357766815,-0.15242900804661863,-0.783758694056512,0.45855090753227506,0.4028465544857972,-0.6128828463094322,0.1930147058823529,-1.4907389871851666,ir3050079.trees
