#/home/enes/bim/BIM.py trees/r3080010.trees,trees/r3080011.trees,trees/r3080012.trees,trees/r3080013.trees,trees/r3080014.trees,trees/r3080015.trees,trees/r3080016.trees,trees/r3080017.trees,trees/r3080018.trees,trees/r3080019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/556168705.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,FerL,ZngE,FulD,bsfs,FayH,Colless,btree,path
0,100001.0,50,428,0.032245209875598806,0.13243767498200007,-0.0994423393480048,0.20323113335303591,0.2756130230573974,0.017942083131520264,0.1174498746867168,0.5821791183168179,r3080010.trees
0,100001.0,50,426,-0.3126611033214958,-0.31513303812212523,0.11474475574387961,0.25440735094226163,-0.6129349796554993,-0.059168491861241325,0.16445046768707489,-0.633603187531694,r3080011.trees
0,100001.0,50,393,-0.28529946984301746,-0.46218601982696467,0.2578466541596774,1.1170218270665966,-1.1164334866818086,-0.07476466849864032,0.1806169690098262,-0.9279803997297886,r3080012.trees
0,100001.0,50,454,-0.21380955886230646,0.11461950350321573,-0.21101044594508594,1.080123521171808,-0.6039844884759258,-0.001353672845077704,0.1472470761703696,-0.4146742885863483,r3080013.trees
0,100001.0,50,331,-0.42630088140557193,-0.35687935988559855,0.09310514533817417,1.4488515652724014,-1.471267251380149,-0.07229695797842421,0.1277648486295103,-0.31559213431397587,r3080014.trees
0,100001.0,50,381,-0.19336457226349366,0.07230873125912463,-0.16313440503446872,0.8282320385212856,-0.4410081510713697,-0.004928744394931416,0.11893835746589135,0.21542364374161344,r3080015.trees
0,100001.0,50,355,-0.35051623254127245,0.011186994487322608,-0.19049013576746462,0.3374550853206192,-0.7427673334042557,-0.023177983111046963,0.11654751721047682,0.24056181588115033,r3080016.trees
0,100001.0,50,402,-0.3832131762784447,-0.6665735009342626,0.3864322042844252,0.797487582877709,-1.725852179098721,-0.10581917921658944,0.15105223375900068,-0.6919991632798133,r3080017.trees
0,100001.0,50,439,0.2194368662095906,0.03764959685112012,0.08038205145754426,-0.3905525239144106,0.6225080999164789,0.019776593279598985,0.1175069037515995,0.41805593458790397,r3080018.trees
0,100001.0,50,416,0.201305012286992,-0.2190712692228643,0.2959956911180939,-0.9064524421594835,0.1815608483775469,-0.011909048310422167,0.11037963572525776,0.4560650259990237,r3080019.trees
