#/home/enes/bim/BIM.py trees/ir3010030.trees,trees/ir3010031.trees,trees/ir3010032.trees,trees/ir3010033.trees,trees/ir3010034.trees,trees/ir3010035.trees,trees/ir3010036.trees,trees/ir3010037.trees,trees/ir3010038.trees,trees/ir3010039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/466180820.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,FayH,FerL,ZngE,bsfs,FulD,btree,Colless,path
0,100001.0,50,424,-0.558280466424126,0.02714341671272168,0.5580312409420385,-0.7775563702939996,-0.8726513071575361,1.3540901049315752,-1.173567635633584,0.15712939852199875,ir3010030.trees
0,100001.0,50,454,0.8483751081470016,0.009676529513440066,-0.41842816318916354,0.8053807036872934,0.7643020852791854,-0.8782011922477506,-0.02437597239716556,0.11817274986917845,ir3010031.trees
0,100001.0,50,430,0.1434165729680612,-0.005395257550779433,-0.13005847822529396,0.18810676898269277,0.21821564391092796,-0.3642166478692398,-0.539766199653034,0.16011904761904763,ir3010032.trees
0,100001.0,50,560,-0.07826362563676435,0.0036232427398886894,0.07690374455509899,-0.10798127557914038,-0.038856996100622175,0.12008921459974675,-0.5733329451095117,0.15651102213037116,ir3010033.trees
0,100001.0,50,480,0.46994007068104726,-0.05739432090745199,-0.7624224283176877,0.9115657595561054,0.0388160959230862,-0.39173099906880954,-0.3648838427215154,0.14042372268056158,ir3010034.trees
0,100001.0,50,449,-0.1611313751052703,-0.08848829268935575,-0.6524296763069735,0.4887221393038635,-0.9348614699115906,0.43575366644028635,-1.1072573245355062,0.16354622206025274,ir3010035.trees
0,100001.0,50,499,-0.26857923864307526,-0.05425279802947381,-0.3004653611565348,0.12452708397939888,-0.4339444449975762,-0.2052536182285106,-0.3560220724566013,0.15631469979296053,ir3010036.trees
0,100001.0,50,390,0.23202276388564208,0.040259534094682935,0.2026830478407072,-0.057903484503997446,0.7347941915407089,0.08799204449458138,-0.1530915212592927,0.13011778785588307,ir3010037.trees
0,100001.0,50,459,-0.09561865336678838,0.02848497390408616,0.29705469833976655,-0.30987773610638514,-0.16231469086735387,1.2585402737892433,-1.2315781426094823,0.1534565580618212,ir3010038.trees
0,100001.0,50,378,-0.6724809435487051,-0.02376734532710825,0.195650145638856,-0.5183866268886905,-1.0954007079283736,0.35183092646092573,-1.1502251232874208,0.17769679300291544,ir3010039.trees
