#/home/enes/bim/BIM.py trees/ir3050030.trees,trees/ir3050031.trees,trees/ir3050032.trees,trees/ir3050033.trees,trees/ir3050034.trees,trees/ir3050035.trees,trees/ir3050036.trees,trees/ir3050037.trees,trees/ir3050038.trees,trees/ir3050039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/325990392.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FulD,TajD,bsfs,FerL,FayH,Colless,btree,path
0,100001.0,50,426,0.3816031870350507,0.5325768800134821,-0.20724052873266813,-0.7178252822649213,-0.5574266156509117,-0.08051639494033068,0.19551445578231283,-1.6417631958943244,ir3050030.trees
0,100001.0,50,445,0.37615412476150023,0.36936375407380356,-0.38710036781794754,-1.1435826925538886,-0.657237707390199,-0.10484067639463884,0.17555593666037841,-0.8689961108895733,ir3050031.trees
0,100001.0,50,412,-0.19774886214472073,1.6329391549444772,-0.456092278531187,-1.3655782510780348,-0.043087703512282347,-0.03695967775476666,0.16825032765399742,-1.23561675747843,ir3050032.trees
0,100001.0,50,371,0.26831255433908285,0.06147120886378753,-0.46729933644543975,-0.7932862101482551,-0.5811929726584987,-0.10168143504284875,0.2228664192949908,-1.8609422309226973,ir3050033.trees
0,100001.0,50,460,0.019187399766925295,0.24998243153955235,-0.23443170200373192,-0.5091071262635563,-0.1601117158017058,-0.035308512102494784,0.17300069634152876,-1.1901946314113863,ir3050034.trees
0,100001.0,50,325,-0.22325892763200883,0.9446546342986701,-0.6031704192670846,-1.0850974784448948,-0.09966580788962538,-0.054071464043143974,0.2021352985638701,-1.8811661164341025,ir3050035.trees
0,100001.0,50,423,1.0166953675544124,-0.2106792261145871,0.32368397393957066,-0.3692496435403524,-0.9690711683300943,-0.09223300472251392,0.15260770975056687,-0.8626724565607226,ir3050036.trees
0,100001.0,50,358,-0.09297670551645743,2.0842318848816035,-0.7417191437702999,-2.6926033722503373,-0.3302747727496046,-0.09110369697881135,0.16866129167716465,-1.3911439425907852,ir3050037.trees
0,100001.0,50,401,0.4044109012106363,-0.26316047557563277,0.1942600473290711,0.022405424616109657,-0.3469751078206154,-0.027582016849463712,0.15631802721088436,-0.9833888786075253,ir3050038.trees
0,100001.0,50,449,0.36480561772713677,1.3267575365093074,-0.33957459915174604,-1.2026885255273758,-0.6162847216686189,-0.09666326924496767,0.19352568613652366,-1.781693729569423,ir3050039.trees
