#/home/enes/bim/BIM.py trees/ir3040010.trees,trees/ir3040011.trees,trees/ir3040012.trees,trees/ir3040013.trees,trees/ir3040014.trees,trees/ir3040015.trees,trees/ir3040016.trees,trees/ir3040017.trees,trees/ir3040018.trees,trees/ir3040019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/655211825.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,TajD,ZngE,bsfs,FerL,FulD,btree,Colless,path
0,100001.0,50,463,-0.07657685637890481,0.10357067295793178,0.6744528467058766,-0.217486716862596,-0.7081673380775566,-0.02903303143924881,-0.9099895598610892,0.16435954226651903,ir3040010.trees
0,100001.0,50,409,0.04494319137323203,-0.1624917833561353,-0.5000772346718694,0.03648259848953579,0.4747876923318534,0.546553637479468,0.024872706232340225,0.1175771060303821,ir3040011.trees
0,100001.0,50,445,0.06660296878371057,-0.12247925935509549,-0.6197343976563462,0.43595342357471756,0.6346882754010752,-0.2965377616759776,-0.44978355067865916,0.13442460317460317,ir3040012.trees
0,100001.0,50,517,0.025260268684200393,0.41786045440772407,0.2450333576242438,0.9357155657571917,-0.03281856973650854,0.6622703463876684,-0.6932845588861033,0.1520838855022528,ir3040013.trees
0,100001.0,50,422,0.05500054793540023,0.08661326961048157,-0.3173861738552178,0.5579074361510288,0.41309416859115344,-0.5543622220340985,0.23342970383869854,0.12487742844885696,ir3040014.trees
0,100001.0,50,395,-0.03644896921648497,-0.17281018963862393,0.09091120617120516,-0.6089898418101205,-0.2054870538706964,1.1697055978431448,-0.9074578119246158,0.16524943310657594,ir3040015.trees
0,100001.0,50,387,-0.07428457017696248,-0.5259325132725476,0.005845735758174023,-1.0477613890919828,-0.31632312148069697,0.22893236162365563,-1.472586435033604,0.18012056307671587,ir3040016.trees
0,100001.0,50,389,-0.05270044405346175,-0.12980174628009983,0.2552906592601026,-0.317117059706555,-0.3677044422541691,-1.159200672438625,-0.3204751331843565,0.14064068250250922,ir3040017.trees
0,100001.0,50,395,-0.01539868486016641,0.0505242695834891,0.16592747875678293,-0.23582911535957665,-0.1595579132868416,-0.02973416123437646,-0.9934427049969958,0.15693681318681316,ir3040018.trees
0,100001.0,50,466,-0.07127924189440228,-0.009786482783627225,0.5180458829388916,-0.5636139427058426,-0.5966140431559221,0.013552921443033638,-0.732211741073507,0.1520242243238759,ir3040019.trees
