#/home/enes/bim/BIM.py trees/ir3070010.trees,trees/ir3070011.trees,trees/ir3070012.trees,trees/ir3070013.trees,trees/ir3070014.trees,trees/ir3070015.trees,trees/ir3070016.trees,trees/ir3070017.trees,trees/ir3070018.trees,trees/ir3070019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/692293057.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FerL,TajD,ZngE,bsfs,FulD,Colless,btree,path
0,100001.0,50,421,0.09180535238703405,0.819706492203694,-0.07641735147297096,-0.7580304231446822,0.9422426715183553,-0.09049001288046449,0.12905377668308698,-0.22741594024996567,ir3070010.trees
0,100001.0,50,425,0.04332080724829041,0.04851541882689193,0.5381262916406472,0.23544121068822746,0.7885473785519773,-0.190333960744065,0.11767804466919511,0.3848757225244649,ir3070011.trees
0,100001.0,50,362,0.02482856470777153,0.06987270556203608,0.2364150798893862,0.06066944749231618,0.33189603951911417,0.7578852921363987,0.1347962654449535,0.037052847648876786,ir3070012.trees
0,100001.0,50,429,0.028519117051551746,0.25580486824959303,-0.025592965728112108,-0.23747090080117497,-0.02221257232250498,0.056967723517520434,0.12468530719374364,-0.06029649613393034,ir3070013.trees
0,100001.0,50,535,0.0029344560222375206,-0.14533297369041023,0.2883044974022864,0.2767072380505575,0.23986888971728193,-0.5241961104585756,0.13537298481036245,-0.4547245545982756,ir3070014.trees
0,100001.0,50,448,-0.013846356050139326,0.044613725093212,-0.2740662044048094,-0.18076014507493823,-0.6784120149913261,0.9732459071936905,0.15320885298563877,-0.6973704017112442,ir3070015.trees
0,100001.0,50,470,0.013765124509301266,0.15824289309090495,-0.07104836561900096,-0.17548555341905267,-0.025274727843933142,0.9314132517534917,0.1548351128530882,-0.7477902803206649,ir3070016.trees
0,100001.0,50,429,0.0036996922479241947,0.09375040135679234,-0.10609597989183009,-0.1369952281185504,-1.4167097195831987e-05,-0.25379758851153744,0.13234531908001304,-0.42239969128440763,ir3070017.trees
0,100001.0,50,431,-0.031520676756291166,-0.17812069370728026,-0.14925083786889837,0.07904241675033699,-0.4385953881793294,0.3851285546185914,0.14236408849253995,-0.5305990964143504,ir3070018.trees
0,100001.0,50,492,-0.029990170337296496,0.1206812396671465,-0.6345202156712872,-0.4340574904438816,-1.0634005301456522,0.44133845283957146,0.16178160919540238,-1.1728192766736454,ir3070019.trees
