#/home/enes/bim/BIM.py trees/ir3080020.trees,trees/ir3080021.trees,trees/ir3080022.trees,trees/ir3080023.trees,trees/ir3080024.trees,trees/ir3080025.trees,trees/ir3080026.trees,trees/ir3080027.trees,trees/ir3080028.trees,trees/ir3080029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/680340528.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,TajD,FerL,bsfs,FulD,ZngE,btree,Colless,path
0,100001.0,50,397,0.022330741600109654,0.36484097681686944,-0.02660124024199394,0.48003993462066286,0.10301574101390597,0.21163636508957415,-0.30361072475208983,0.13045572211185352,ir3080020.trees
0,100001.0,50,388,-0.04086772311177494,-0.6612645463716226,0.04494535143210854,-1.6763041060606796,1.135568941914705,-0.3806295221452928,-1.017228089499068,0.16162591162591164,ir3080021.trees
0,100001.0,50,366,-0.012809063323167605,-0.38210290659046203,0.1170191810640153,-0.8632730546887764,0.8350095543435195,-0.2995906014396971,-1.3799289778521033,0.16566097592883297,ir3080022.trees
0,100001.0,50,437,-0.0663476513369417,-0.3529616860843681,-0.3521505222384787,-1.031330012495156,0.8770788955097208,0.12634595933683723,-0.8890304445512663,0.1457321023647554,ir3080023.trees
0,100001.0,50,417,-0.0653708551128009,0.16727186832155766,-0.6500856735992888,-0.18081101237110486,-0.05977642142096507,0.6562455135366021,-0.038238944818181325,0.12826709631220906,ir3080024.trees
0,100001.0,50,441,-0.0006202377477564843,-0.11198086635325841,0.060767570099421776,-0.06931258968539283,0.10020448075940029,-0.11114070859688267,-0.8204234544271752,0.15779355220349,ir3080025.trees
0,100001.0,50,462,-0.04880840804630586,0.19259420674403865,-0.5259948856759857,0.14740645276518205,-0.6314232150040411,0.5607488135757764,-0.3529097233211049,0.15111540111540117,ir3080026.trees
0,100001.0,50,422,-0.07249381110821922,-0.6902589971836328,-0.2050344014764452,-2.018716616163859,1.7621577591676476,-0.17679354176265374,-1.8833208419185907,0.19403076545933687,ir3080027.trees
0,100001.0,50,421,-0.06442818614003124,-0.16412736767395908,-0.4469594782251436,-0.5260420778034772,0.0854182547132005,0.30703583148652186,-0.4275128596310404,0.1584519128752419,ir3080028.trees
0,100001.0,50,377,-0.1103547820973727,-0.4553172277881323,-0.6615002849469431,-1.456326226156209,0.6363041353145967,0.34484784566235466,-1.2882121925514594,0.17169217687074834,ir3080029.trees
