#/home/enes/bim/BIM.py trees/r3070060.trees,trees/r3070061.trees,trees/r3070062.trees,trees/r3070063.trees,trees/r3070064.trees,trees/r3070065.trees,trees/r3070066.trees,trees/r3070067.trees,trees/r3070068.trees,trees/r3070069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/715398722.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,FerL,ZngE,bsfs,TajD,FayH,btree,Colless,path
0,100001.0,50,411,-0.1567214582532284,0.07629435204056663,0.08799965463660775,0.5389213202281192,0.299933478066701,0.029991448051345928,0.7920138872935013,0.10035794422481034,r3070060.trees
0,100001.0,50,351,0.37874364682398004,0.1502052275519902,-0.3596984426984562,-0.7675129455717419,-0.44252354575760006,-0.013087756978961206,-0.3486408110401391,0.14414315108759557,r3070061.trees
0,100001.0,50,441,0.8393016895853213,0.3599011150612376,-0.4987383351867739,-0.3429453301942253,-0.35455284453749875,0.017872035842761244,0.2941379573532713,0.10411255411255398,r3070062.trees
0,100001.0,50,500,-0.38934330929310634,0.38647156365439356,-0.44231725302239977,0.044020523535615655,-0.19988969444055057,0.03174505206441644,0.18310300695974502,0.11264012647312457,r3070063.trees
0,100001.0,50,303,0.6659167654218475,-0.06245118780572427,-0.20981692994997403,-0.8661184993344319,-0.5142303414488818,-0.04345259283583473,-0.6092162369232087,0.1625497760079641,r3070064.trees
0,100001.0,50,459,1.000258856803799,-0.41532390491341686,0.11180084894405895,-1.9455400276505237,-0.48812734144477027,-0.08321849814127652,-0.5207366286324838,0.13982147263050304,r3070065.trees
0,100001.0,50,432,0.2737474035140725,0.42228708331917714,-0.49159283030444484,-0.2763632251676835,-0.23496463050061714,0.033620745800532245,-0.08061085279913101,0.12825364887739138,r3070066.trees
0,100001.0,50,438,-0.8236344486246648,-0.6727848199561599,0.7096714107767297,-0.12584653314247946,0.23195341893407986,-0.06348988005538735,-0.3729068965983409,0.13146865889212828,r3070067.trees
0,100001.0,50,463,-0.5411576829042235,-0.1408489379815629,0.33268550777135686,0.6855364747256266,0.4046268073548413,0.011566751830185054,0.26515141371628115,0.12008564687136115,r3070068.trees
0,100001.0,50,451,-0.4678473959984541,-0.16950011490217481,0.08195723153277266,-0.2658246382766275,-0.12894855652956577,-0.029065663138126786,-0.012344760961073196,0.11788931788931782,r3070069.trees
