#/home/enes/bim/BIM.py trees/ir3020090.trees,trees/ir3020091.trees,trees/ir3020092.trees,trees/ir3020093.trees,trees/ir3020094.trees,trees/ir3020095.trees,trees/ir3020096.trees,trees/ir3020097.trees,trees/ir3020098.trees,trees/ir3020099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/867272445.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,TajD,FulD,FayH,bsfs,ZngE,Colless,btree,path
0,100001.0,50,364,-0.15787166033231265,0.11125845985767516,-0.48389258899884546,-0.010977299028423598,0.15824880624905535,0.19571507742595384,0.16157418023389128,-0.8310431571581124,ir3020090.trees
0,100001.0,50,315,-0.9462471082993337,-0.3743726967176294,0.3278960583370284,-0.13892964686115367,-1.1579286207371262,0.6362088395125424,0.21190885992951394,-1.6593834218575616,ir3020091.trees
0,100001.0,50,405,-0.3034273499998313,-0.3536436637431061,0.3284841117246585,-0.06068079834936595,-0.8603329462913624,0.08338266600721751,0.1716148364107548,-1.505983941082465,ir3020092.trees
0,100001.0,50,402,-0.32223016888572076,0.2976584968906787,-0.8968737836246793,-0.017423704167609272,0.2632201468496087,0.4361047940378095,0.14864908227441917,-0.7115433278485915,ir3020093.trees
0,100001.0,50,438,0.1094177564928672,-0.4897008972185582,1.9837654057837928,-0.021224971438066956,-1.4934808302784572,-0.34896012814028227,0.2276994130985729,-2.260025469132968,ir3020094.trees
0,100001.0,50,383,-0.31272198556940317,0.08532688700150298,0.7681062935881454,-0.031155051651185824,-0.020550115871338637,0.31810103408673684,0.17346938775510204,-0.7149352003657169,ir3020095.trees
0,100001.0,50,378,-1.3197945529310506,0.22921397113694555,-0.8620321805328562,-0.14066515694912227,-0.1318853377452506,1.2749051377184284,0.18929401028704163,-1.2542981232284616,ir3020096.trees
0,100001.0,50,340,-0.15834473090533097,-0.00628193924646705,0.714761805328407,-0.01927416342426871,-0.21709720817329287,0.13549867513878514,0.15236973910443297,-0.9994745190087598,ir3020097.trees
0,100001.0,50,423,-0.22083926900365564,-0.23589097012056554,0.1394838850795617,-0.04263970208802447,-0.6358443226217053,0.0717470303641157,0.21029614853460188,-1.679141940329411,ir3020098.trees
0,100001.0,50,345,-0.3789043160952076,-0.8023440895691906,2.0288239123345573,-0.10116985691579074,-2.240261215877288,-0.08145756112386215,0.21337930776706293,-1.7923420279504736,ir3020099.trees
