#/home/enes/bim/BIM.py trees/ir3010010.trees,trees/ir3010011.trees,trees/ir3010012.trees,trees/ir3010013.trees,trees/ir3010014.trees,trees/ir3010015.trees,trees/ir3010016.trees,trees/ir3010017.trees,trees/ir3010018.trees,trees/ir3010019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/602616887.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,FayH,ZngE,bsfs,FulD,TajD,btree,Colless,path
0,100001.0,50,503,0.07355283412612235,0.012263766257087095,-0.038019490851290215,0.1343719111731999,0.7723271061354198,0.05117972839263274,-0.7855727834270736,0.15811120366513945,ir3010010.trees
0,100001.0,50,455,-0.437971621752819,-0.05974226073470984,0.3254762011738597,-0.5409448440837981,-0.5252788217903013,-0.11320134590349636,-0.6122535757623059,0.14080070803831732,ir3010011.trees
0,100001.0,50,404,-0.5909356028156468,-0.09991125917915965,0.29744446058350904,-1.2543122224585372,0.33743856346965456,-0.4271526551405424,-1.1106071733421303,0.16574480259393473,ir3010012.trees
0,100001.0,50,455,-0.891241173829812,-0.10359530653364159,0.7954675288392529,-0.3048015778645466,-0.590413648624022,0.027224023621284506,-0.643098591684587,0.16453294280675226,ir3010013.trees
0,100001.0,50,508,-0.4038459455255573,-0.004865153851830544,0.6721943313886642,0.4947363338687237,-1.0480597917208656,0.6146522842119793,0.00042210921107006035,0.13413103336572724,ir3010014.trees
0,100001.0,50,355,-0.4227372737031121,-0.08600401861278874,0.10676939873256132,-1.054571845675038,-0.03762570685757057,-0.5114692690759678,-1.0998741409391024,0.1540472572007526,ir3010015.trees
0,100001.0,50,434,0.03651137920795815,-0.014752581384777967,-0.17320056449339674,-0.8701575591111933,1.3837422168403606,-0.2732757947826873,-0.935815850391743,0.14208410636982063,ir3010016.trees
0,100001.0,50,359,0.19282195564500226,0.02773659675377886,-0.13339073381141545,0.2998416716637304,-1.1454300899488408,0.06900367433556333,-0.11626301809233316,0.12699920393689387,ir3010017.trees
0,100001.0,50,459,-0.3573148451672368,-0.04162396238360524,0.3182121757135009,-0.5925516278013494,0.7096922626951742,0.00953878069157104,-0.8453924129596148,0.14436619718309862,ir3010018.trees
0,100001.0,50,425,-0.4288466878223352,-0.04199384928598951,0.44119196207016514,-0.20116173844817078,-0.4343015698754072,0.1263260380468212,0.2804826644168646,0.11676273562860254,ir3010019.trees
