sFayHCmedi,Chromosome,start,end,pFayHCmedi,FayHCmedi,genes
p14c1.0,1,520000,41435000,0.8351152607927174,0.04991889256634941,"OR4F16, SAMD11, NOC2L, KLHL17, PLEKHN1, PERM1, HES4, ISG15, AGRN, RNF223, C1orf159, TTLL10, TNFRSF18, TNFRSF4, SDF4, B3GALT6, C1QTNF12, UBE2J2, SCNN1D, ACAP3, PUSL1, INTS11, CPTP, TAS1R3, DVL1, MXRA8, AURKAIP1, CCNL2, MRPL20, ANKRD65, TMEM88B, VWA1, ATAD3C, ATAD3B, ATAD3A, TMEM240, SSU72, FNDC10, MIB2, MMP23B, CDK11B, SLC35E2B, CDK11A, SLC35E2A, NADK, GNB1, CALML6, TMEM52, GABRD, PRKCZ, FAAP20, SKI, MORN1, RER1, PEX10, PLCH2, PANK4, HES5, TNFRSF14, PRXL2B, MMEL1, TTC34, ACTRT2, PRDM16, ARHGEF16, MEGF6, TPRG1L, WRAP73, TP73, CCDC27, SMIM1, LRRC47, CEP104, DFFB, C1orf174, AJAP1, NPHP4, KCNAB2, CHD5, RPL22, RNF207, ICMT, HES3, GPR153, ACOT7, HES2, ESPN, TNFRSF25, PLEKHG5, NOL9, TAS1R1, ZBTB48, KLHL21, PHF13, THAP3, DNAJC11, CAMTA1, VAMP3, PER3, UTS2, TNFRSF9, PARK7, ERRFI1, SLC45A1, RERE, ENO1, CA6, SLC2A7, SLC2A5, GPR157, H6PD, SPSB1, SLC25A33, TMEM201, PIK3CD, CLSTN1, CTNNBIP1, LZIC, NMNAT1, RBP7, UBE4B, KIF1B, PGD, CENPS, CENPS-CORT, CORT, DFFA, PEX14, CASZ1, C1orf127, TARDBP, MASP2, SRM, EXOSC10, MTOR, ANGPTL7, UBIAD1, DISP3, FBXO2, FBXO44, FBXO6, MAD2L2, DRAXIN, AGTRAP, MTHFR, CLCN6, NPPA, NPPB, KIAA2013, PLOD1, MFN2, MIIP, TNFRSF8, TNFRSF1B, VPS13D, DHRS3, AADACL4, AADACL3, C1orf158, PRAMEF12, PRAMEF1, PRAMEF11, HNRNPCL1, PRAMEF2, PRAMEF4, PRAMEF10, PRAMEF7, PRAMEF6, PRAMEF27, HNRNPCL3, PRAMEF25, HNRNPCL2, PRAMEF26, HNRNPCL4, PRAMEF9, PRAMEF13, PRAMEF18, PRAMEF5, PRAMEF8, PRAMEF33, PRAMEF15, PRAMEF14, PRAMEF17, PRAMEF20, LRRC38, PDPN, PRDM2, KAZN, TMEM51, EFHD2, CTRC, CELA2A, CELA2B, CASP9, DNAJC16, AGMAT, DDI2, RSC1A1, PLEKHM2, SLC25A34, TMEM82, FBLIM1, UQCRHL, SPEN, ZBTB17, SRARP, HSPB7, CLCNKA, CLCNKB, FAM131C, EPHA2, ARHGEF19, CPLANE2, FBXO42, SZRD1, SPATA21, NECAP2, CROCC, MFAP2, ATP13A2, SDHB, PADI2, PADI1, PADI3, PADI4, PADI6, RCC2, ARHGEF10L, ACTL8, IGSF21, KLHDC7A, PAX7, TAS1R2, ALDH4A1, IFFO2, UBR4, EMC1, MRTO4, AKR7L, AKR7A3, AKR7A2, SLC66A1, CAPZB, MICOS10, NBL1, HTR6, TMCO4, RNF186, OTUD3, PLA2G2E, PLA2G2A, PLA2G5, PLA2G2D, PLA2G2F, UBXN10, CAMK2N1, MUL1, FAM43B, CDA, PINK1, DDOST, KIF17, SH2D5, HP1BP3, EIF4G3, ECE1, NBPF3, ALPL, RAP1GAP, USP48, LDLRAD2, HSPG2, CELA3B, CELA3A, CDC42, WNT4, ZBTB40, EPHA8, C1QA, C1QC, C1QB, EPHB2, TEX46, KDM1A, LUZP1, HTR1D, HNRNPR, ZNF436, TCEA3, ASAP3, E2F2, ID3, RPL11, ELOA, PITHD1, LYPLA2, GALE, HMGCL, FUCA1, CNR2, PNRC2, SRSF10, MYOM3, IL22RA1, IFNLR1, GRHL3, STPG1, NIPAL3, RCAN3, NCMAP, SRRM1, CLIC4, RUNX3, SYF2, RSRP1, RHD, TMEM50A, RHCE, MACO1, LDLRAP1, MAN1C1, SELENON, MTFR1L, AUNIP, PAQR7, STMN1, PAFAH2, EXTL1, SLC30A2, TRIM63, PDIK1L, FAM110D, ZNF593, CNKSR1, CATSPER4, CEP85, SH3BGRL3, UBXN11, CD52, ZNF683, LIN28A, DHDDS, HMGN2, RPS6KA1, ARID1A, PIGV, ZDHHC18, SFN, GPN2, GPATCH3, NUDC, NR0B2, KDF1, TRNP1, TENT5B, SLC9A1, WDTC1, TMEM222, SYTL1, MAP3K6, FCN3, CD164L2, GPR3, WASF2, AHDC1, FGR, IFI6, FAM76A, STX12, PPP1R8, THEMIS2, RPA2, SMPDL3B, XKR8, EYA3, PTAFR, DNAJC8, ATP5IF1, SESN2, MED18, PHACTR4, RCC1, TRNAU1AP, RAB42, TAF12, GMEB1, YTHDF2, OPRD1, EPB41, TMEM200B, SRSF4, MECR, PTPRU, MATN1, LAPTM5, SDC3, PUM1, NKAIN1, SNRNP40, ZCCHC17, FABP3, SERINC2, TINAGL1, HCRTR1, PEF1, COL16A1, ADGRB2, SPOCD1, PTP4A2, KHDRBS1, TMEM39B, KPNA6, TXLNA, CCDC28B, TMEM234, IQCC, DCDC2B, EIF3I, FAM167B, LCK, HDAC1, MARCKSL1, TSSK3, FAM229A, BSDC1, ZBTB8B, ZBTB8A, ZBTB8OS, RBBP4, SYNC, KIAA1522, YARS1, S100PBP, FNDC5, HPCA, TMEM54, RNF19B, AK2, AZIN2, TRIM62, ZNF362, A3GALT2, PHC2, ZSCAN20, CSMD2, HMGB4, C1orf94, GJB5, GJB4, GJB3, GJA4, SMIM12, DLGAP3, TMEM35B, ZMYM6, ZMYM1, SFPQ, ZMYM4, KIAA0319L, NCDN, TFAP2E, PSMB2, C1orf216, CLSPN, AGO4, AGO1, AGO3, TEKT2, ADPRS, COL8A2, TRAPPC3, MAP7D1, THRAP3, SH3D21, EVA1B, STK40, LSM10, OSCP1, MRPS15, CSF3R, GRIK3, ZC3H12A, MEAF6, SNIP1, DNALI1, GNL2, RSPO1, C1orf109, CDCA8, EPHA10, MANEAL, YRDC, C1orf122, MTF1, INPP5B, SF3A3, FHL3, UTP11, POU3F1, RRAGC, MYCBP, GJA9, RHBDL2, AKIRIN1, NDUFS5, MACF1, KIAA0754, BMP8A, PABPC4, HEYL, NT5C1A, HPCAL4, PPIE, BMP8B, OXCT2, TRIT1, MYCL, MFSD2A, CAP1, PPT1, RLF, TMCO2, ZMPSTE24, COL9A2, SMAP2, ZFP69B, ZFP69, EXO5, ZNF684, RIMS3, NFYC, KCNQ4, CITED4, CTPS1, SLFNL1, SCMH1"
p14c1.1,1,41430000,41830000,2.2318365921684543e-05,-0.171486930380049,"EDN2, HIVEP3"
p14c1.2,1,41825000,50650000,0.39961945503173607,0.04043489439513764,"GUCA2B, GUCA2A, FOXJ3, RIMKLA, ZMYND12, CCDC30, PPCS, PPIH, YBX1, CLDN19, P3H1, C1orf50, SVBP, ERMAP, ZNF691, SLC2A1, FAM183A, EBNA1BP2, CFAP57, TMEM125, C1orf210, TIE1, MPL, CDC20, ELOVL1, MED8, SZT2, HYI, PTPRF, KDM4A, ST3GAL3, ARTN, IPO13, DPH2, ATP6V0B, B4GALT2, CCDC24, SLC6A9, KLF17, KLF18, DMAP1, ERI3, RNF220, TMEM53, ARMH1, KIF2C, RPS8, BEST4, PLK3, DYNLT4, PTCH2, EIF2B3, HECTD3, UROD, ZSWIM5, HPDL, MUTYH, TOE1, TESK2, CCDC163, MMACHC, PRDX1, AKR1A1, NASP, CCDC17, GPBP1L1, TMEM69, IPP, MAST2, PIK3R3, TSPAN1, P3R3URF, POMGNT1, LURAP1, RAD54L, LRRC41, UQCRH, NSUN4, FAAH, DMBX1, TMEM275, KNCN, MKNK1, MOB3C, ATPAF1, TEX38, EFCAB14, CYP4B1, CYP4A11, CYP4X1, CYP4Z1, CYP4A22, PDZK1IP1, TAL1, STIL, CMPK1, FOXE3, FOXD2, TRABD2B, SLC5A9, SPATA6, AGBL4, BEND5, ELAVL4, DMRTA2, FAF1"
p14c1.3,1,50645000,54630000,0.9990410646678343,0.11267134038485178,"CDKN2C, C1orf185, RNF11, TTC39A, EPS15, OSBPL9, NRDC, RAB3B, TXNDC12, KTI12, BTF3L4, ZFYVE9, CC2D1B, ORC1, PRPF38A, TUT4, GPX7, SHISAL2A, COA7, ZYG11B, ZYG11A, ECHDC2, SCP2, PODN, SLC1A7, CPT2, CZIB, MAGOH, LRP8, DMRTB1, GLIS1, NDC1, YIPF1, DIO1, HSPB11, LRRC42, LDLRAD1, TMEM59, TCEANC2, CDCP2, CYB5RL, MRPL37, SSBP3, ACOT11, FAM151A"
p14c1.4,1,54625000,89150000,0.2382942104437027,0.03996637131801565,"MROH7, TTC4, PARS2, TTC22, LEXM, DHCR24, TMEM61, BSND, PCSK9, USP24, PLPP3, PRKAA2, FYB2, C8A, C8B, DAB1, OMA1, TACSTD2, MYSM1, JUN, FGGY, HOOK1, CYP2J2, C1orf87, NFIA, TM2D1, PATJ, L1TD1, KANK4, USP1, DOCK7, ANGPTL3, ATG4C, FOXD3, ALG6, ITGB3BP, EFCAB7, PGM1, ROR1, UBE2U, CACHD1, RAVER2, JAK1, AK4, DNAJC6, LEPR, LEPROT, PDE4B, SGIP1, DYNLT5, INSL5, DNAI4, MIER1, SLC35D1, C1orf141, IL23R, IL12RB2, SERBP1, GADD45A, GNG12, DIRAS3, WLS, RPE65, DEPDC1, LRRC7, LRRC40, SRSF11, ANKRD13C, CTH, PTGER3, ZRANB2, NEGR1, LRRIQ3, FPGT, TNNI3K, ERICH3, CRYZ, TYW3, LHX8, SLC44A5, ACADM, RABGGTB, MSH4, ASB17, ST6GALNAC3, ST6GALNAC5, PIGK, AK5, ZZZ3, USP33, MIGA1, NEXN, FUBP1, DNAJB4, GIPC2, PTGFR, IFI44L, IFI44, ADGRL4, ADGRL2, TTLL7, PRKACB, SAMD13, DNASE2B, RPF1, GNG5, SPATA1, CTBS, SSX2IP, LPAR3, MCOLN2, MCOLN3, DNAI3, SYDE2, C1orf52, BCL10, DDAH1, CCN1, ZNHIT6, COL24A1, ODF2L, CLCA2, CLCA1, CLCA4, SH3GLB1, SELENOF, HS2ST1, LMO4, PKN2, GTF2B, KYAT3, RBMXL1, GBP3, GBP1, GBP2, GBP7"
p14c1.5,1,89145000,89410000,0.99992520687588,0.2700608383881541,"GBP4, GBP5, GBP6"
p14c1.6,1,89405000,100415000,0.3846811028771165,0.03837328792710521,"LRRC8B, LRRC8C, LRRC8D, ZNF326, BARHL2, ZNF644, HFM1, CDC7, TGFBR3, BRDT, EPHX4, SETSIP, BTBD8, C1orf146, GLMN, RPAP2, GFI1, EVI5, RPL5, DIPK1A, MTF2, TMED5, CCDC18, DR1, FNBP1L, BCAR3, DNTTIP2, GCLM, ABCA4, ARHGAP29, ABCD3, F3, SLC44A3, CNN3, ALG14, TLCD4, RWDD3, PTBP2, DPYD, SNX7, PLPPR5, PLPPR4, PALMD, FRRS1, AGL, SLC35A3, MFSD14A, SASS6, TRMT13, LRRC39, DBT, RTCA, CDC14A"
p14c1.7,1,100410000,101005000,0.9999961025982116,0.24045381797724555,"GPR88, VCAM1, EXTL2, SLC30A7, DPH5"
p14c1.8,1,101000000,107725000,0.913254816624528,0.06349031830070022,"S1PR1, OLFM3, COL11A1, RNPC3, AMY2B, AMY2A, AMY1A, AMY1B, AMY1C, PRMT6, NTNG1, VAV3"
p14c1.9,1,107720000,107820000,0.9999942124275392,0.34284820036280605,
